sample  fq1 fq2
198214.7    /buffer/ag_bsc/PS_SEQAN_DATA/2023/DATA/Lib2M/reads_multiple_strains/198214.7_R1.fastq.gz    /buffer/ag_bsc/PS_SEQAN_DATA/2023/DATA/Lib2M/reads_multiple_strains/198214.7_R2.fastq.gz
198215.6    /buffer/ag_bsc/PS_SEQAN_DATA/2023/DATA/Lib2M/reads_multiple_strains/198215.6_R1.fastq.gz    /buffer/ag_bsc/PS_SEQAN_DATA/2023/DATA/Lib2M/reads_multiple_strains/198215.6_R2.fastq.gz
373384.11   /buffer/ag_bsc/PS_SEQAN_DATA/2023/DATA/Lib2M/reads_multiple_strains/373384.11_R1.fastq.gz   /buffer/ag_bsc/PS_SEQAN_DATA/2023/DATA/Lib2M/reads_multiple_strains/373384.11_R2.fastq.gz
591020.3    /buffer/ag_bsc/PS_SEQAN_DATA/2023/DATA/Lib2M/reads_multiple_strains/591020.3_R1.fastq.gz    /buffer/ag_bsc/PS_SEQAN_DATA/2023/DATA/Lib2M/reads_multiple_strains/591020.3_R2.fastq.gz
754092.3    /buffer/ag_bsc/PS_SEQAN_DATA/2023/DATA/Lib2M/reads_multiple_strains/754092.3_R1.fastq.gz    /buffer/ag_bsc/PS_SEQAN_DATA/2023/DATA/Lib2M/reads_multiple_strains/754092.3_R2.fastq.gz
766145.3    /buffer/ag_bsc/PS_SEQAN_DATA/2023/DATA/Lib2M/reads_multiple_strains/766145.3_R1.fastq.gz    /buffer/ag_bsc/PS_SEQAN_DATA/2023/DATA/Lib2M/reads_multiple_strains/766145.3_R2.fastq.gz
766146.3    /buffer/ag_bsc/PS_SEQAN_DATA/2023/DATA/Lib2M/reads_multiple_strains/766146.3_R1.fastq.gz    /buffer/ag_bsc/PS_SEQAN_DATA/2023/DATA/Lib2M/reads_multiple_strains/766146.3_R2.fastq.gz
766147.3    /buffer/ag_bsc/PS_SEQAN_DATA/2023/DATA/Lib2M/reads_multiple_strains/766147.3_R1.fastq.gz    /buffer/ag_bsc/PS_SEQAN_DATA/2023/DATA/Lib2M/reads_multiple_strains/766147.3_R2.fastq.gz
766148.3    /buffer/ag_bsc/PS_SEQAN_DATA/2023/DATA/Lib2M/reads_multiple_strains/766148.3_R1.fastq.gz    /buffer/ag_bsc/PS_SEQAN_DATA/2023/DATA/Lib2M/reads_multiple_strains/766148.3_R2.fastq.gz
766149.3    /buffer/ag_bsc/PS_SEQAN_DATA/2023/DATA/Lib2M/reads_multiple_strains/766149.3_R1.fastq.gz    /buffer/ag_bsc/PS_SEQAN_DATA/2023/DATA/Lib2M/reads_multiple_strains/766149.3_R2.fastq.gz
766151.3    /buffer/ag_bsc/PS_SEQAN_DATA/2023/DATA/Lib2M/reads_multiple_strains/766151.3_R1.fastq.gz    /buffer/ag_bsc/PS_SEQAN_DATA/2023/DATA/Lib2M/reads_multiple_strains/766151.3_R2.fastq.gz
766152.3    /buffer/ag_bsc/PS_SEQAN_DATA/2023/DATA/Lib2M/reads_multiple_strains/766152.3_R1.fastq.gz    /buffer/ag_bsc/PS_SEQAN_DATA/2023/DATA/Lib2M/reads_multiple_strains/766152.3_R2.fastq.gz
766157.3    /buffer/ag_bsc/PS_SEQAN_DATA/2023/DATA/Lib2M/reads_multiple_strains/766157.3_R1.fastq.gz    /buffer/ag_bsc/PS_SEQAN_DATA/2023/DATA/Lib2M/reads_multiple_strains/766157.3_R2.fastq.gz
766159.3    /buffer/ag_bsc/PS_SEQAN_DATA/2023/DATA/Lib2M/reads_multiple_strains/766159.3_R1.fastq.gz    /buffer/ag_bsc/PS_SEQAN_DATA/2023/DATA/Lib2M/reads_multiple_strains/766159.3_R2.fastq.gz
766160.3    /buffer/ag_bsc/PS_SEQAN_DATA/2023/DATA/Lib2M/reads_multiple_strains/766160.3_R1.fastq.gz    /buffer/ag_bsc/PS_SEQAN_DATA/2023/DATA/Lib2M/reads_multiple_strains/766160.3_R2.fastq.gz
766161.3    /buffer/ag_bsc/PS_SEQAN_DATA/2023/DATA/Lib2M/reads_multiple_strains/766161.3_R1.fastq.gz    /buffer/ag_bsc/PS_SEQAN_DATA/2023/DATA/Lib2M/reads_multiple_strains/766161.3_R2.fastq.gz
